Model,Mean F1 (sev=1),Mean F1 (sev=3),Mean F1 (sev=5)
Baseline,0.6071365878291448,0.37103219452859565,0.3140330154090249
Robust,0.9260334510930512,0.8011302657225252,0.7120476227418695
